sheet,row,sku,issue,current,suggested
PRICE_ELEA_CLEAN,10,ELE-0009,Normalize category,Тонуючий гель  Funky Colors 100 мл,Тонуючий гель Funky Colors 100 мл
PRICE_ELEA_CLEAN,10,ELE-0009,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,11,ELE-0010,Normalize product name,EA 00-N  ARTISTO Коректор 100 мл,EA 00-N ARTISTO Коректор 100 мл
PRICE_ELEA_CLEAN,11,ELE-0010,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,12,ELE-0011,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,13,ELE-0012,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,14,ELE-0013,Normalize product name,EA 22  ARTISTO Коректор 100 мл,EA 22 ARTISTO Коректор 100 мл
PRICE_ELEA_CLEAN,14,ELE-0013,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,15,ELE-0014,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,16,ELE-0015,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,17,ELE-0016,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,18,ELE-0017,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,19,ELE-0018,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,20,ELE-0019,Extract volume from name,,100 ml
PRICE_ELEA_CLEAN,26,ELE-0025,Normalize category,Окисники  ARTISTO 1000мл,Окисники ARTISTO 1000мл
PRICE_ELEA_CLEAN,26,ELE-0025,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,27,ELE-0026,Normalize category,Окисники  ARTISTO 1000мл,Окисники ARTISTO 1000мл
PRICE_ELEA_CLEAN,27,ELE-0026,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,28,ELE-0027,Normalize category,Окисники  ARTISTO 1000мл,Окисники ARTISTO 1000мл
PRICE_ELEA_CLEAN,28,ELE-0027,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,29,ELE-0028,Normalize category,Окисники  ARTISTO 1000мл,Окисники ARTISTO 1000мл
PRICE_ELEA_CLEAN,29,ELE-0028,Extract volume from name,,1000 ml
PRICE_ELEA_CLEAN,30,ELE-0029,Normalize category,Окисники  ARTISTO 1000мл,Окисники ARTISTO 1000мл
PRICE_ELEA_CLEAN,30,ELE-0029,Extract volume from name,,1000 ml
