sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
COI-0027,Coiffance,CF Coiffance Шампунь NUTRI 250 мл,NUTRI LINE Догляд д/сухого та пошкодж.волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,28
COI-0028,Coiffance,CF Coiffance Конд-спрей VOLUME 150мл,VOLUME Серія для об'єму волосся,150 ml,France,545,818,818,no,PRICE_COIFFANCE_CLEAN,29
COI-0029,Coiffance,CF Coiffance Шампунь VOLUME 1000 мл,VOLUME Серія для об'єму волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,30
COI-0030,Coiffance,CF Coiffance Шампунь VOLUME 250 мл,VOLUME Серія для об'єму волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,31
COI-0031,Coiffance,CF Coiffance Двофазний cпрей DAILY 150 мл,DAILY Догляд для нормального волосся,150 ml,France,556,834,834,no,PRICE_COIFFANCE_CLEAN,32
COI-0032,Coiffance,CF Coiffance Шампунь BALANCING 1000 мл,DAILY Догляд для нормального волосся,1000 ml,France,1059,1589,1589,no,PRICE_COIFFANCE_CLEAN,33
COI-0033,Coiffance,CF Coiffance Шампунь BALANCING 250 мл,DAILY Догляд для нормального волосся,250 ml,France,483,725,725,no,PRICE_COIFFANCE_CLEAN,34
COI-0034,Coiffance,CF Coiffance Шампунь DAILY 1000 мл,DAILY Догляд для нормального волосся,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,35
COI-0035,Coiffance,CF Coiffance Шампунь DAILY 250мл,DAILY Догляд для нормального волосся,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,36
COI-0036,Coiffance,CF Coiffance Спрей сильний STRONG FIXING 400 мл,STYLING Засоби для укладання,400 ml,France,877,1316,1316,no,PRICE_COIFFANCE_CLEAN,37
COI-0037,Coiffance,CF Coiffance Спрей-термозахист THERMAL 200 мл,STYLING Засоби для укладання,200 ml,France,642,963,963,no,PRICE_COIFFANCE_CLEAN,38
ELE-0001,Elea,ELEA Стійка крем-фарба ARTISTO 100 мл,,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,2
ELE-0002,Elea,ELEA Безаміачна фарба ARTISTO 100 мл,,100 ml,Bulgaria,150,225,225,no,PRICE_ELEA_CLEAN,3
